surface_id,bulk_id,crack_e_ads_o,gemnet_e_ads_o,crack_e_ads_oh,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,gemnet_limiting_step
mp-1184018_111,mp-1184018,1.7550101318359372,2.0952811279296872,0.6700289306640617,0.9274752197265616,0.7925247802734381,0.4374752197265619,1
mp-1184658_111,mp-1184658,1.6087546386718747,1.7538962402343747,0.6557467041015617,0.9255373535156242,0.7944626464843756,0.4355373535156244,1
mp-1184870_110,mp-1184870,1.7000937499999995,1.7667136230468747,0.6293642578124992,0.6162874755859367,0.6162874755859367,0.6137125244140633,4
mp-1186928_111,mp-1186928,1.6452689208984372,1.6540732421874995,0.7743227539062492,0.6330416259765617,0.6330416259765617,0.5969583740234383,4
mp-1186930_001,mp-1186930,1.6201376953124995,1.7801718749999995,0.7932436523437492,0.8872072753906242,0.8327927246093756,0.3972072753906244,1
mp-11870_111,mp-11870,1.4401297607421872,1.6643271484374995,0.8472292480468742,0.5043795166015617,0.5043795166015617,0.7256204833984383,4
mp-1188089_001,mp-1188089,1.811421875,2.0752158203125,0.8580629882812492,0.5281069335937492,0.5281069335937492,0.7018930664062508,4
mp-1191223_001,mp-1191223,1.9170126953125,1.5965476074218747,0.7276308593749992,1.0334169921874992,0.5631306152343756,0.6668693847656244,3
mp-1191663_010,mp-1191663,1.9507193603515625,1.5808157958984372,0.9244997558593742,0.5826571044921867,0.5826571044921867,0.6473428955078133,4
mp-1193319_100,mp-1193319,2.12929296875,1.4478964843749995,0.6766893920898429,0.9296419677734368,0.5182545166015627,0.7117454833984372,3
mp-1194266_100,mp-1194266,1.913846496582031,1.4453787841796872,0.6221239624023429,0.9118807373046868,0.5334980468750005,0.6965019531249995,3
mp-1196396_100,mp-1196396,1.8855795898437495,1.3423972167968747,0.7083132324218742,0.7693789062499992,0.5730183105468756,0.6569816894531244,3
mp-1198114_001,mp-1198114,2.0136008300781247,1.9021811523437495,0.6958010253906242,0.8857729492187492,0.8342270507812506,0.3957729492187494,1
mp-1201774_001,mp-1201774,1.7321677246093747,1.7758231201171872,0.7998354492187492,1.1622774658203117,0.5577225341796881,0.6722774658203119,1
mp-1205335_001,mp-1205335,1.866879943847656,1.4849371948242185,0.6306231079101554,0.5691225585937492,0.5691225585937492,0.6608774414062508,4
mp-1206350_011,mp-1206350,1.5328879394531247,1.5792899169921872,0.5560610351562492,0.5447237548828117,0.5447237548828117,0.6852762451171883,4
mp-1207193_001,mp-1207193,1.3924155273437495,1.7949423828124995,0.7333910522460929,0.8490526733398429,0.8490526733398429,0.38094732666015707,4
mp-1208308_001,mp-1208308,1.9852194824218747,1.6715292968749995,1.2026064453124992,1.0964205322265617,0.5751087646484379,0.6548912353515621,3
mp-1209948_100,mp-1209948,1.8424887695312495,2.013890747070312,0.8472445068359367,1.1588289794921869,0.5611710205078131,0.6688289794921869,1
mp-1209_100,mp-1209,2.2390875854492185,2.2287497558593747,0.9102327880859368,1.1994783935546869,0.5205216064453131,0.7094783935546869,1
mp-1210215_001,mp-1210215,1.6530356445312495,1.6297812499999995,0.6824648437499992,0.6930849609374992,0.6930849609374992,0.5369150390625008,4
mp-1210229_010,mp-1210229,3.1271567382812497,3.3611960449218747,1.1211550292968742,1.0060732421874992,0.7139267578125006,0.5160732421874994,1
mp-1212167_001,mp-1212167,1.6023459472656247,2.268437866210937,0.8235170898437492,0.5921785888671867,0.5921785888671867,0.6378214111328133,4
mp-1214857_110,mp-1214857,3.177499298095703,2.8022780456542966,1.099437957763671,1.1566164550781242,0.5633835449218756,0.6666164550781244,1
mp-1215633_100,mp-1215633,2.224004272460937,1.8619742431640625,1.0093386230468742,1.1798098144531242,0.5401901855468756,0.6898098144531244,1
mp-1215804_010,mp-1215804,1.871800903320312,2.118016723632812,0.9365694580078116,0.5655520019531242,0.5655520019531242,0.6644479980468758,4
mp-1216184_001,mp-1216184,1.9096274414062495,2.546041015625,0.7086489257812492,0.9031679687499992,0.8168320312500006,0.4131679687499994,1
mp-1216296_001,mp-1216296,1.6541953124999995,2.3960776367187497,0.5061953124999992,1.1542055664062492,0.5657944335937506,0.6642055664062494,1
mp-1216498_01-1,mp-1216498,1.7327475585937495,1.804341796875,1.0988771972656242,1.1966860351562492,0.5233139648437506,0.7066860351562494,1
mp-1216612_101,mp-1216612,1.5219931640624995,1.4410605468749995,0.6961367187499992,0.7155153808593742,0.7155153808593742,0.5144846191406258,4
mp-1217163_001,mp-1217163,2.3322348632812497,2.1148581542968747,1.0299074707031242,0.7722170410156242,0.7722170410156242,0.4577829589843758,4
mp-1217186_001,mp-1217186,2.5021872558593747,2.0503745117187497,0.8073122558593742,0.9479372558593742,0.7720627441406256,0.4579372558593744,1
mp-1217263_001,mp-1217263,1.7500968017578122,2.079076293945312,0.9495546874999992,1.2081453857421869,0.5118546142578131,0.7181453857421869,1
mp-1217326_110,mp-1217326,1.8047080078125,1.9532980957031247,0.8368532714843742,0.8709414062499992,0.8490585937500006,0.3809414062499994,1
mp-1217383_001,mp-1217383,1.8989310302734368,1.8732810058593747,0.9688723144531242,0.9021608886718742,0.8178391113281256,0.4121608886718744,1
mp-1217942_011,mp-1217942,2.3764853515625,2.4492392578125,1.1979067382812492,1.0351870117187492,0.6848129882812506,0.5451870117187494,1
mp-1218835_001,mp-1218835,2.2082648315429685,1.7456259765624995,0.7730791625976554,1.0049746093749992,0.7150253906250006,0.5149746093749994,1
mp-1218951_001,mp-1218951,1.9860281982421872,1.7403311767578122,1.0088656005859369,1.0553133544921869,0.6646866455078131,0.5653133544921869,1
mp-1218954_110,mp-1218954,1.8950400390625,1.9519248046875,0.5211489257812492,0.7339479980468742,0.7339479980468742,0.4960520019531258,4
mp-1218960_001,mp-1218960,2.206174377441406,1.9661383666992185,0.9522173461914054,1.0323259887695304,0.6876740112304693,0.5423259887695306,1
mp-1218994_001,mp-1218994,2.0530600585937497,2.00722265625,1.1416933593749992,0.9772341308593742,0.7427658691406256,0.4872341308593744,1
mp-1218999_110,mp-1218999,1.5827231445312495,1.3615927734374995,0.6967470703124992,0.5890200195312492,0.5890200195312492,0.6409799804687508,4
mp-1219000_001,mp-1219000,1.893979553222656,1.6494650878906247,0.9785921630859368,1.0796053466796869,0.5698597412109379,0.6601402587890621,3
mp-1219003_001,mp-1219003,2.3261618652343747,1.7580618896484372,0.7567904052734367,1.0110781249999992,0.7089218750000006,0.5210781249999994,1
mp-1219015_110,mp-1219015,1.4725852050781247,1.4535880126953122,0.6824343261718742,0.6086123046874992,0.6086123046874992,0.6213876953125008,4
mp-1219442_100,mp-1219442,1.6206717529296872,2.2488303222656247,0.6504213867187492,0.9549868164062492,0.7650131835937506,0.4649868164062494,1
mp-1219457_001,mp-1219457,1.579068664550781,1.2454123535156247,0.5827715454101554,0.5551378784179679,0.5551378784179679,0.6748621215820321,4
mp-1219469_001,mp-1219469,1.8071188964843747,1.8425192871093747,0.7330019531249992,0.5828554687499992,0.5828554687499992,0.6471445312500008,4
mp-1219787_001,mp-1219787,2.010259155273437,1.7392172851562495,0.8486025390624992,1.0652315673828117,0.6547684326171881,0.5752315673828119,1
mp-1220035_001,mp-1220035,1.9626975097656247,1.9823203125,1.0538790283203117,0.9907991943359368,0.7292008056640631,0.5007991943359369,1
mp-1220057_001,mp-1220057,1.7413535156249995,1.7314047851562495,0.8564455566406242,1.0601961669921869,0.6598038330078131,0.5701961669921869,1
mp-1220085_001,mp-1220085,1.7892661132812495,1.8641257324218747,0.9907076416015616,1.0119631347656242,0.7080368652343756,0.5219631347656244,1
mp-1220141_001,mp-1220141,1.9713950195312495,2.0843405761718747,0.8417360839843742,1.0398867187499992,0.6801132812500006,0.5498867187499994,1
mp-1220401_001,mp-1220401,1.9292197265625,1.9436240234375,0.7677309570312492,0.7664492187499992,0.7664492187499992,0.4635507812500008,4
mp-1220635_001,mp-1220635,1.9561667480468747,1.891255859375,0.7353823242187492,0.7727358398437492,0.7727358398437492,0.4572641601562508,4
mp-1220678_001,mp-1220678,1.8546958007812495,1.9455466308593747,0.7429201660156242,0.8747561035156242,0.8452438964843756,0.3847561035156244,1
mp-1220914_011,mp-1220914,2.463765625,2.1475424804687497,1.0253603515624992,0.8586123046874992,0.8586123046874992,0.3713876953125008,4
mp-1221139_101,mp-1221139,2.0465445556640622,1.645841125488281,0.8588640747070304,1.1331331787109369,0.5127079467773441,0.7172920532226559,3
mp-1221420_010,mp-1221420,1.5613303222656247,1.7856345214843747,0.8673708496093742,1.0416567382812492,0.6783432617187506,0.5516567382812494,1
mp-1221429_001,mp-1221429,1.6172690429687495,2.0113120117187497,0.5032656249999992,0.8388979492187492,0.8388979492187492,0.3911020507812508,4
mp-1221499_001,mp-1221499,1.5792441406249995,1.8174033203125,0.5715029296874992,0.6611025390624992,0.6611025390624992,0.5688974609375008,4
mp-1221667_001,mp-1221667,1.7683310546874995,2.003903869628906,0.5979769287109367,0.5283587036132804,0.5283587036132804,0.7016412963867196,4
mp-1221776_001,mp-1221776,1.9384360351562495,1.8140463867187495,0.6987001953124992,0.9936220703124992,0.7263779296875006,0.5036220703124994,1
mp-1223673_001,mp-1223673,2.0655112304687497,1.8169455566406247,0.938316589355468,0.7098314819335929,0.7098314819335929,0.5201685180664071,4
mp-1223753_100,mp-1223753,2.830785278320312,2.1613669433593747,1.1658480224609369,0.9751589355468742,0.7448410644531256,0.4851589355468744,1
mp-1223971_101,mp-1223971,1.7745261230468747,1.7777152099609372,0.7908327636718742,0.8315126953124992,0.8315126953124992,0.3984873046875008,4
mp-1223986_11-1,mp-1223986,1.8893294372558591,1.7670035400390622,0.728679901123046,0.6573183593749992,0.6573183593749992,0.5726816406250008,4
