surface_id,bulk_id,gemnet_e_ads_o,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,dft_e_ads_o,dft_e_ads_oh,dft_U_limiting,dft_eta_ORR,dft_limiting_step,error_e_ads_o,error_e_ads_oh,error_eta,performance
mp-644883_001,mp-644883,2.214452270507812,0.9128878173828116,0.8071121826171881,0.4228878173828119,2.1411687500000127,0.7459567500000013,0.7459567500000013,0.4840432499999987,4,0.07328352050779907,0.16693106738281027,-0.06115543261718681,Poor
mp-34292_001,mp-34292,1.853574279785156,0.8139956054687492,0.8139956054687492,0.4160043945312508,1.779345830000004,0.7399314600000046,0.7399314600000046,0.49006853999999533,4,0.07422844978515197,0.07406414546874451,-0.07406414546874451,Poor
mp-1227450_001,mp-1227450,1.8329978027343747,0.8290102539062492,0.8290102539062492,0.4009897460937508,2.0949026899999907,0.981208399999982,0.7387916000000176,0.49120839999998234,1,-0.261904887265616,-0.15219814609373283,-0.09021865390623152,Poor
mp-32811_010,mp-32811,2.1140875854492185,0.8174135742187492,0.8174135742187492,0.4125864257812508,1.7463198599999927,0.996317389999998,0.7236826100000018,0.5063173899999982,1,0.36776772544922576,-0.1789038157812488,-0.09373096421874738,Poor
mp-685969_111,mp-685969,1.721189025878906,0.8958208618164054,0.8241791381835943,0.4058208618164056,1.535452020000001,0.8201268499999763,0.7153251700000247,0.5146748299999753,3,0.18573700587890496,0.0756940118164291,-0.10885396818356968,Poor
mp-1178952_100,mp-1178952,1.824918273925781,0.8957445678710929,0.8242554321289068,0.4057445678710931,1.799064719999997,1.0159202500000042,0.7040797499999956,0.5259202500000044,1,0.025853553925784034,-0.12017568212891128,-0.12017568212891133,Poor
mp-35015_100,mp-35015,1.7863059082031247,0.8290407714843742,0.8290407714843742,0.4009592285156258,2.500577920000005,0.7003964700000118,0.7003964700000118,0.5296035299999882,4,-0.7142720117968802,0.12864430148436234,-0.12864430148436234,Poor
mp-20683_001,mp-20683,2.0712790527343747,0.8115847167968742,0.8115847167968742,0.4184152832031258,2.255294880000001,1.039723849999998,0.6802761500000019,0.5497238499999981,1,-0.18401582726562626,-0.22813913320312373,-0.1313085667968723,Poor
mp-1078168_101,mp-1078168,1.8706870117187493,0.8260805664062492,0.8260805664062492,0.4039194335937508,1.780626149999982,1.0488167899999858,0.6711832100000139,0.5588167899999861,1,0.09006086171876726,-0.22273622359373668,-0.15489735640623525,Poor
mp-1078079_001,mp-1078079,2.03066015625,0.9102480468749992,0.8097519531250006,0.4202480468749994,1.5748998100000549,0.9112349500000184,0.6636648600000364,0.5663351399999635,3,0.4557603462499453,-0.0009869031250192561,-0.14608709312496415,Poor
mp-1217326_110,mp-1217326,1.9532980957031247,0.8709414062499992,0.8490585937500006,0.3809414062499994,3.5358009400000228,0.9967355399999996,0.660934599999977,0.569065400000023,2,-1.582502844296898,-0.12579413375000048,-0.18812399375002364,Poor
mp-20554_110,mp-20554,2.189214233398437,0.8782503662109367,0.8417496337890631,0.3882503662109369,3.249960250000008,1.090234750000004,0.6297652499999957,0.6002347500000043,1,-1.0607460166015712,-0.21198438378906737,-0.21198438378906737,Poor
mp-2103_111,mp-2103,1.9757437744140625,0.8345339355468742,0.8345339355468742,0.3954660644531258,1.4414378400000132,0.8257433800000022,0.6156944600000109,0.614305539999989,3,0.5343059344140493,0.008790555546871914,-0.21883947554686323,Poor
mp-568661_101,mp-568661,1.9137320556640625,0.8786318359374992,0.8413681640625006,0.3886318359374994,2.351857899999992,0.6118582999999909,0.6118582999999909,0.6181417000000091,4,-0.4381258443359297,0.2667735359375083,-0.22950986406250973,Poor
mp-861501_110,mp-861501,2.0791373291015622,0.8401339111328117,0.8401339111328117,0.3898660888671883,1.5171871800000003,0.6001764300000012,0.6001764300000012,0.6298235699999988,4,0.5619501491015619,0.23995748113281046,-0.23995748113281046,Poor
mp-1025294_100,mp-1025294,1.6987814941406247,0.8196871337890617,0.8196871337890617,0.4103128662109383,1.9069464500000135,0.5716353299999888,0.5716353299999888,0.6583646700000112,4,-0.20816495585938877,0.24805180378907288,-0.24805180378907288,Poor
mp-1404_001,mp-1404,2.0119452514648435,0.8166124877929679,0.8166124877929679,0.413387512207032,2.2159108800000027,1.1743328400000017,0.545667159999998,0.6843328400000019,1,-0.2039656285351592,-0.3577203522070338,-0.2709453277929699,Poor
mp-1198114_001,mp-1198114,1.9021811523437493,0.8857729492187492,0.8342270507812506,0.3957729492187494,1.9075825299999776,0.5286733399999797,0.5286733399999797,0.7013266600000203,4,-0.005401377656228279,0.3570996092187695,-0.3055537107812709,Poor
mp-1207193_001,mp-1207193,1.7949423828124995,0.8490526733398429,0.8490526733398429,0.380947326660157,1.5755207400000089,0.5282375300000091,0.5282375300000091,0.7017624699999909,4,0.21942164281249066,0.32081514333983385,-0.3208151433398339,Poor
mp-1227656_001,mp-1227656,1.6841177978515622,0.8802568969726554,0.8038609008789068,0.4261390991210931,2.513906889999994,1.1950564899999954,0.5249435100000044,0.7050564899999956,1,-0.8297890921484319,-0.31479959302733995,-0.2789173908789025,Poor
mp-1183206_100,mp-1183206,2.1923422851562497,0.8568117675781242,0.8568117675781242,0.3731882324218758,2.1313935500000056,0.5245481999999946,0.5245481999999946,0.7054518000000054,4,0.060948735156244105,0.3322635675781296,-0.3322635675781296,Poor
