surface_id,bulk_id,crack_e_ads_o,gemnet_e_ads_o,crack_e_ads_oh,gemnet_e_ads_oh,fork_U_limiting,fork_eta_ORR,fork_limiting_step
mp-23179_001,mp-23179,1.3756156005859372,1.1786551513671872,0.6492922363281242,0.4724276123046866,0.6492922363281242,0.5807077636718758,4
mp-23206_010,mp-23206,1.5718588867187495,1.8381552734375,0.6091005859374992,0.5416567382812492,0.6091005859374992,0.6208994140625008,4
mp-23214_011,mp-23214,3.6011099853515622,2.901700500488281,1.050499206542968,2.492218261718749,0.6493892211914059,0.5806107788085941,2
mp-23229_001,mp-23229,2.2683920898437497,3.5050559082031247,0.6994326171874992,2.473419433593749,0.6994326171874992,0.5305673828125008,4
mp-23279_111,mp-23279,1.8186087646484368,0.9560446777343748,0.5569155273437492,0.0434420166015616,0.5569155273437492,0.6730844726562508,4
mp-23309_001,mp-23309,2.858296875,2.5839133300781247,1.1401064453124992,1.6156618652343742,0.5798935546875006,0.6501064453124994,1
mp-23408_001,mp-23408,2.116109375,1.879537109375,0.7187502441406242,1.0937502441406242,0.7187502441406242,0.5112497558593758,4
mp-23538_011,mp-23538,2.2980856933593747,2.2591452636718747,0.6141359863281242,0.4987490234374991,0.6141359863281242,0.6158640136718758,4
mp-23539_100,mp-23539,2.9756674804687497,3.015752319335937,0.7259218749999992,1.077934509277343,0.7259218749999992,0.5040781250000008,4
mp-2400_101,mp-2400,1.316068176269531,1.032376770019531,0.7629015502929679,0.7351305541992179,0.5531666259765631,0.6768333740234369,3
mp-24289_100,mp-24289,1.7443442382812495,2.5326743164062497,0.8150942382812492,0.8748171386718742,0.8150942382812492,0.4149057617187508,4
mp-2512_110,mp-2512,1.5272727050781247,1.6364035644531247,0.7893068847656242,0.6623537597656242,0.7379658203125006,0.4920341796874994,3
mp-2578_001,mp-2578,1.9377493896484368,1.7746634521484372,0.8931734619140617,0.8890535888671867,0.8268265380859381,0.4031734619140619,1
mp-2597_100,mp-2597,1.7154135742187495,1.7493720092773437,0.5282824096679679,0.4385607299804679,0.5282824096679679,0.7017175903320321,4
mp-2667_110,mp-2667,2.239285949707031,1.6053290405273437,0.6409380493164054,0.4694902954101554,0.6409380493164054,0.5890619506835946,4
mp-2685_101,mp-2685,1.936032775878906,2.107480529785156,0.7991640624999992,0.8192751464843742,0.7991640624999992,0.4308359375000008,4
mp-2693_100,mp-2693,2.175961975097656,1.2965750732421872,0.5490267333984367,0.5957491455078117,0.5490267333984367,0.6809732666015633,4
mp-2732_111,mp-2732,1.4384360351562495,1.2307333984374995,0.9162905273437492,0.7721865234374992,0.5221455078125004,0.7078544921874996,3
mp-27369_001,mp-27369,1.7762351074218747,1.7731375732421872,0.8099978027343742,1.0026247558593742,0.8099978027343742,0.4200021972656258,4
mp-27394_001,mp-27394,2.8155112304687497,2.4576773681640622,1.0540926513671869,1.3082888183593742,0.6659073486328131,0.5640926513671869,1
mp-27396_001,mp-27396,3.4117941894531247,3.3430380859375,1.1163942871093742,2.789856201171874,0.6036057128906256,0.6263942871093744,1
mp-27438_101,mp-27438,1.8131766357421872,1.5825858154296872,0.5448305664062492,0.4395945129394523,0.5448305664062492,0.6851694335937508,4
mp-27455_001,mp-27455,3.0402426757812497,2.7976584472656247,0.8320314941406242,2.255676513671874,0.8320314941406242,0.3979685058593758,4
mp-27523_111,mp-27523,3.462377075195312,1.4427084960937495,1.2172091064453117,-0.0682980957031258,0.5027908935546881,0.7272091064453119,1
mp-27532_001,mp-27532,2.1387534179687497,1.8518424072265625,0.9157106933593742,0.9563906249999992,0.8042893066406256,0.4257106933593744,1
mp-2758_100,mp-2758,1.906392578125,1.5571188964843747,1.0607454833984369,1.1694185791015617,0.6592545166015631,0.5707454833984369,1
mp-27628_100,mp-27628,2.011884216308593,2.0507636108398435,0.9065096435546868,1.3592226562499992,0.8134903564453131,0.4165096435546869,1
mp-27677_101,mp-27677,1.7891287841796872,1.3954672851562495,0.7224886474609367,0.6147921142578117,0.7224886474609367,0.5075113525390633,4
mp-27749_100,mp-27749,1.5928702392578122,1.5454001464843747,0.5286562499999992,0.9776003417968742,0.5286562499999992,0.7013437500000008,4
mp-2784_111,mp-2784,1.8570456542968747,1.709287170410156,0.8329012451171867,1.3277971801757804,0.8329012451171867,0.3970987548828133,4
mp-27851_110,mp-27851,1.930028442382812,2.281011108398437,0.8445627746582023,0.3098719177246085,0.8445627746582023,0.3854372253417977,4
mp-27852_110,mp-27852,2.090512756347656,2.1530089416503904,0.6278460083007804,0.6110994873046867,0.6278460083007804,0.6021539916992196,4
mp-27970_11-1,mp-27970,2.0278525390625,2.1514182128906247,0.9190371093749992,1.5068361816406242,0.8009628906250006,0.4290371093749994,1
mp-28020_101,mp-28020,2.055806640625,2.724095825195312,0.6150820312499992,0.7309114990234367,0.6150820312499992,0.6149179687500008,4
mp-28080_100,mp-28080,1.7135825195312495,1.1594748535156247,1.1544878540039054,0.6778032836914054,0.5590946655273441,0.6709053344726559,3
mp-2809_001,mp-2809,1.9497275390625,1.9525961914062495,1.0239718017578117,1.3946535644531242,0.6960281982421881,0.5339718017578119,1
mp-28108_110,mp-28108,1.6801657714843747,1.1720786132812495,0.9827425537109368,0.5663149414062492,0.697423217773438,0.532576782226562,3
mp-28128_001,mp-28128,1.9351325073242185,0.742703918457031,0.9952471313476554,1.387413269042968,0.7247528686523443,0.5052471313476556,1
mp-28143_010,mp-28143,1.5690512695312495,0.8728842773437497,0.5346376953124992,0.4595644531249991,0.5346376953124992,0.6953623046875008,4
mp-28230_010,mp-28230,2.231664184570312,1.8691000976562495,1.2025606689453117,1.3749239501953117,0.5174393310546881,0.7125606689453119,1
mp-28233_001,mp-28233,1.4363608398437495,0.6574912109374997,0.5618898925781242,0.3838808593749991,0.5618898925781242,0.6681101074218758,4
mp-28242_101,mp-28242,3.1549811401367185,3.370786193847656,0.916038757324218,1.4426348266601554,0.8039612426757818,0.42603875732421814,1
mp-28270_001,mp-28270,2.1483969726562497,1.8024497070312495,0.9210665283203116,0.9238436279296868,0.7989334716796881,0.4310665283203119,1
mp-28278_001,mp-28278,2.0344443359375,1.4598288574218747,1.1200258789062492,1.2587893066406242,0.5999741210937506,0.6300258789062494,1
mp-28303_011,mp-28303,1.8332114257812495,1.848287109375,0.9826357421874992,1.4862978515624992,0.7373642578125006,0.4926357421874994,1
mp-28334_100,mp-28334,2.1350913085937497,1.2034201660156247,1.0363466796874992,0.6333925781249992,0.6836533203125006,0.5463466796874994,1
mp-28355_100,mp-28355,1.9014182128906247,1.8530478515625,0.6593630371093742,0.4610445556640616,0.6593630371093742,0.5706369628906258,4
