surface_id,bulk_id,crack_e_ads,crack_time,crack_steps,crack_converged,gemnet_e_ads,gemnet_time,gemnet_steps,gemnet_converged
mp-9382_110,mp-9382,-2.016326660156251,0.3418855667114258,24.0,True,-2.913726562500001,9.195250511169434,189.0,True
mp-9383_110,mp-9383,-1.3774106445312508,3.3106322288513184,245.0,True,-2.903106445312501,8.244518518447876,170.0,True
mp-9384_001,mp-9384,-0.09257482910156334,0.569591760635376,46.0,True,-0.6777951660156258,3.2920479774475098,84.0,True
mp-9385_001,mp-9385,0.16394067382812416,0.5749998092651367,47.0,True,-0.30757116699218834,2.7419753074645996,70.0,True
mp-9386_001,mp-9386,0.10208154296874916,0.7614991664886475,62.0,True,-0.43901037597656334,3.7058377265930176,95.0,True
mp-938_001,mp-938,0.7329332885742179,0.4125523567199707,32.0,True,0.6216204223632804,2.642528772354126,71.0,True
mp-9391_10-1,mp-9391,1.4523317871093742,0.1558537483215332,12.0,True,1.3568117675781242,1.1239001750946045,26.0,True
mp-9407_001,mp-9407,1.7521059570312492,0.684438943862915,52.0,True,0.9950869140624992,1.3454844951629639,30.0,True
mp-9437_111,mp-9437,-1.6959226074218758,0.30277585983276367,22.0,True,-1.5863645019531258,1.894350528717041,48.0,True
mp-943_100,mp-943,-4.352813476562501,0.7002525329589844,52.0,True,-3.763091796875001,5.727076768875122,115.0,True
mp-945077_010,mp-945077,1.6104128417968742,0.2915949821472168,23.0,True,1.5072939453124992,2.381531000137329,56.0,True
mp-945184_100,mp-945184,0.22659326171874916,0.6798505783081055,52.0,True,1.1755373535156242,5.388807058334351,132.0,True
mp-9460_111,mp-9460,-1.0526425781250008,0.45760536193847656,33.0,True,0.6526796874999992,3.561404228210449,51.0,True
mp-9462_001,mp-9462,1.0556185302734367,0.18501543998718262,15.0,True,0.8497011718749992,2.96256160736084,69.0,True
mp-9463_001,mp-9463,0.31082177734374916,0.7013227939605713,54.0,True,0.14807153320312416,1.7894890308380127,44.0,True
mp-947_111,mp-947,-0.9503934326171883,0.899848461151123,69.0,True,-1.1177670898437508,3.92940616607666,88.0,True
